date,temp_london_00h,temp_london_06h,temp_london_12h,temp_london_18h,temp_bristol_00h,temp_bristol_06h,temp_bristol_12h,temp_bristol_18h,temp_leeds_00h,temp_leeds_06h,temp_leeds_12h,temp_leeds_18h,sunshine_london,sunshine_bristol,sunshine_leeds,total_demand,day_of_week,weekend,holiday,stringency,avg_gas_index
2019-01-01,5.786411333,4.799744617,9.206411717,4.688077967,6.371771617,6.046771617,10.52510492,4.688077967,7.31182845,6.441828367,7.5434952,2.9251619,3.8695035,213.829788,398.4,25297.25,Tue,0,1,0,57.71
2019-01-02,1.563078033,0.601411407,5.27807795,1.95141135,0.980105031,0.060105,5.641771667,1.95141135,0.868495217,0.941828552,4.050161783,1.846828517,354.398937,459.626433,457.966666,31779.83333,Wed,0,0,0,57.71
2019-01-03,1.516411425,1.003078052,4.128078,2.008078083,-0.01656165,0.23343834,3.918438333,2.008078083,0.468495182,-0.128171452,2.781828583,1.383495202,358.707094,316.008867,358.6017727,33801.02083,Thu,0,0,0,57.71
2019-01-04,0.823078095,0.904744733,3.353078,1.761411353,-0.623228322,-1.166561648,3.188438333,1.761411353,-0.299838108,-1.0515048,4.3968284,3.418495283,327.997512,314.861526,112.468083,34128.79167,Fri,0,0,0,57.71
2019-01-05,0.056411407,-0.451921932,4.433077833,2.914744633,-1.276561633,-0.878228309,4.408438333,2.914744633,1.808495233,2.610161933,6.34849505,5.536828417,0,176.808514,0,31161.39583,Sat,1,0,0,57.71
2019-01-06,1.909744717,4.09974455,9.403078667,7.573078133,5.380104917,6.016771633,9.656771667,7.573078133,6.363494967,7.636828417,9.721828667,8.515161833,0,270.319155,119.425533,29594.95833,Sun,1,0,0,57.71
2019-01-07,6.713077767,6.223077967,10.22641133,9.374745167,7.213438333,6.956771667,10.46177158,9.374745167,7.4668284,8.120161567,10.77349517,7.066828267,0,0,250.381277,31730.75,Mon,0,0,0,57.71
2019-01-08,6.266411433,5.034744733,7.6264115,4.116411267,7.0667716,5.800105,8.965104917,4.116411267,5.2401616,4.353495,6.42182825,2.683495267,312.483334,287.723281,468.233335,31489.22917,Tue,0,0,0,57.71
2019-01-09,1.521411347,0.863078095,5.056411117,3.111411283,3.803438283,1.408438317,5.471771667,3.111411283,0.941828567,1.125161908,4.7451617,3.75516195,307.038298,476.837092,279.78511,33590.04167,Wed,0,0,0,57.71
2019-01-10,0.804744745,1.129744754,5.166411233,5.91807775,3.001771667,4.018438333,6.460105,5.91807775,3.351828583,4.540161883,8.3201619,5.171828333,47.04787,153.19149,0,34996.66667,Thu,0,0,0,57.71
2019-01-11,6.13141125,5.883077967,9.281411667,5.53974455,3.851771667,5.863438333,9.41843825,5.53974455,4.988494867,5.30016185,7.310161717,6.673495,151.0989414,11.8750004,139.7872418,33572.89583,Fri,0,0,0,57.71
